1	42	35	4
1	201	35	4
2	209	35	4
3	150	35	4
4	139	35	4
5	105	35	4
6	65	35	4
6	100	35	4
7	60	35	4
7	173	35	4
8	42	35	4
9	9	35	4
10	1	35	4
10	212	35	4
11	216	35	4
12	168	35	4
13	152	35	4
14	134	35	4
15	58	35	4
16	74	35	4
17	15	35	4
17	97	35	4
17	189	35	4
18	19	35	4
18	175	35	4
18	220	35	4
20	124	35	4
21	147	35	4
21	206	35	4
22	59	35	4
22	187	35	4
23	58	35	4
24	13	35	4
26	111	35	4
27	3	35	4
27	176	35	4
28	141	35	4
28	216	35	4
29	97	35	4
30	187	35	4
31	211	35	4
32	1	35	4
32	43	35	4
33	47	35	4
33	142	35	4
34	123	35	4
35	7	35	4
36	73	35	4
36	184	35	4
37	72	35	4
38	20	35	4
38	106	35	4
38	145	35	4
39	189	35	4
40	48	35	4
40	221	35	4
41	94	35	4
43	7	35	4
43	134	35	4
43	210	35	4
44	15	35	4
44	138	35	4
44	177	35	4
45	55	35	4
46	37	35	4
46	222	35	4
47	178	35	4
48	112	35	4
49	117	35	4
50	76	35	4
51	67	35	4
52	10	35	4
52	188	35	4
53	20	35	4
53	121	35	4
53	221	35	4
54	152	35	4
56	107	35	4
56	217	35	4
57	85	35	4
57	157	35	4
58	64	35	4
59	24	35	4
60	27	35	4
61	55	35	4
62	7	35	4
62	141	35	4
63	123	35	4
63	167	35	4
63	204	35	4
64	175	35	4
65	7	35	4
66	84	35	4
66	212	35	4
68	32	35	4
68	115	35	4
69	94	35	4
70	169	35	4
71	34	35	4
71	215	35	4
72	2	35	4
72	212	35	4
73	158	35	4
74	57	35	4
74	153	35	4
75	5	35	4
75	195	35	4
77	111	35	4
78	86	35	4
78	209	35	4
79	72	35	4
80	3	35	4
80	151	35	4
81	184	35	4
81	221	35	4
82	27	35	4
84	140	35	4
85	26	35	4
85	116	35	4
85	151	35	4
86	81	35	4
86	190	35	4
87	64	35	4
87	185	35	4
87	220	35	4
90	56	35	4
90	108	35	4
91	77	35	4
92	6	35	4
92	217	35	4
93	6	35	4
93	196	35	4
94	165	35	4
95	27	35	4
95	139	35	4
96	82	35	4
96	137	35	4
97	98	35	4
98	24	35	4
98	201	35	4
99	154	35	4
101	40	35	4
101	193	35	4
102	75	35	4
102	172	35	4
103	6	35	4
103	119	35	4
103	221	35	4
104	214	35	4
105	83	35	4
105	154	35	4
106	4	35	4
106	106	35	4
106	142	35	4
109	13	35	4
109	49	35	4
110	60	35	4
110	169	35	4
110	213	35	4
111	156	35	4
111	207	35	4
113	89	35	4
113	126	35	4
114	3	35	4
114	85	35	4
115	4	35	4
116	147	35	4
117	38	35	4
117	144	35	4
117	213	35	4
118	48	35	4
118	218	35	4
119	78	35	4
119	186	35	4
120	95	35	4
